domain,status,latency_ms,frame_len
tenant-internet.com,FAILED,45.31216621398926,79.0
gadanguides.com,SUCCESS,38.11311721801758,75.0
charityjob.co.uk,SUCCESS,42.91033744812012,76.0
sarahpartridge.net,FAILED,41.60666465759277,78.0
ecolems.com,SUCCESS,155.25031089782715,71.0
marilynlingerie.com,FAILED,45.099735260009766,79.0
anvilnetworksolutions.net,SUCCESS,36.63516044616699,85.0
cdmail.fr,SUCCESS,414.7460460662842,69.0
freeditorial.com,SUCCESS,44.84415054321289,76.0
ciber.com,SUCCESS,37.48822212219238,69.0
get-webby.com,FAILED,43.43533515930176,73.0
gadgetgearpro.com,FAILED,102.47611999511719,77.0
sonoma-marinfair.org,SUCCESS,42.03987121582031,80.0
ishidatic.com,SUCCESS,39.1082763671875,73.0
minecraftserverdeals.com,SUCCESS,46.28586769104004,84.0
romney.com,SUCCESS,38.93446922302246,70.0
bookingnest.com,SUCCESS,41.51034355163574,75.0
metar.gr,SUCCESS,460.2367877960205,68.0
bigliettieventi.info,FAILED,37.995338439941406,80.0
asseenontvlaunchpad.com,FAILED,44.934988021850586,83.0
ftf.com,SUCCESS,67.64960289001465,67.0
polymth.com,SUCCESS,41.95380210876465,71.0
crsgfk.de,FAILED,102.33521461486816,69.0
urbannetwork.co.uk,SUCCESS,37.90569305419922,78.0
synrc.com,SUCCESS,47.40023612976074,69.0
callcomm.info,FAILED,99.99299049377441,73.0
ceskykutil.cz,SUCCESS,403.5048484802246,73.0
ximangquantrieu.com,SUCCESS,37.32442855834961,79.0
shishioh.info,SUCCESS,36.92483901977539,73.0
vpndefender.com,SUCCESS,101.61685943603516,75.0
hutago.com,SUCCESS,36.1323356628418,70.0
tangkas888.com,SUCCESS,108.91437530517578,74.0
egov.sy,SUCCESS,390.00749588012695,67.0
abmcare.com,SUCCESS,40.11368751525879,71.0
iael.com,SUCCESS,166.69201850891113,68.0
sailor.pl,SUCCESS,406.07333183288574,69.0
skyhightmatter.info,FAILED,272.84812927246094,79.0
autopareri.com,SUCCESS,38.26332092285156,74.0
cia.it,SUCCESS,100.25501251220703,66.0
texasbeyondhistory.net,SUCCESS,36.77821159362793,82.0
gardenofwords.com,SUCCESS,99.74336624145508,77.0
giuseppelivraghi.it,SUCCESS,37.11128234863281,79.0
hdcric.com,SUCCESS,36.830902099609375,70.0
chekiang.info,FAILED,100.15392303466797,73.0
archiportale.com,SUCCESS,45.30978202819824,76.0
de.vu,SUCCESS,37.287235260009766,65.0
teachmyass.info,SUCCESS,39.76130485534668,75.0
nasaspaceflight.com,SUCCESS,42.05918312072754,79.0
consumerreviews24.com,FAILED,98.8311767578125,81.0
dilw.ie,SUCCESS,38.87748718261719,67.0
bbqinjector.com,FAILED,42.96135902404785,75.0
gxjbsj.com,SUCCESS,135.40291786193848,70.0
fmnara.com,SUCCESS,355.3910255432129,70.0
pet-connect.ru,SUCCESS,39.12830352783203,74.0
synchchaos.com,SUCCESS,298.2747554779053,74.0
uca.edu,SUCCESS,40.18712043762207,67.0
oaister.org,SUCCESS,49.48258399963379,71.0
chenghuavideo.asia,FAILED,915.1942729949951,78.0
video-peche-poisson.fr,FAILED,43.24531555175781,82.0
currencyrates.org,SUCCESS,46.29039764404297,77.0
zpav.pl,SUCCESS,39.18266296386719,67.0
tawali.com,SUCCESS,104.51912879943848,70.0
dock2office.com,FAILED,46.59104347229004,75.0
vlielandoutdoorcenter.nl,SUCCESS,37.322282791137695,84.0
gregginn.com,SUCCESS,101.35340690612793,72.0
arcoat.com,SUCCESS,42.35124588012695,70.0
cushinglawoffices.com,FAILED,48.22111129760742,81.0
eggcityradio.com,SUCCESS,38.96188735961914,76.0
michaelbyers.org,SUCCESS,38.123130798339844,76.0
stkpro.ru,SUCCESS,39.902687072753906,69.0
silveropt.ru,FAILED,793.0593490600586,72.0
topbarbee.com,SUCCESS,105.31210899353027,73.0
teleskill.it,SUCCESS,68.69792938232422,72.0
virtualjerusalem.com,SUCCESS,39.357900619506836,80.0
morban.co.uk,SUCCESS,40.361642837524414,72.0
mechachal.org,FAILED,553.3120632171631,73.0
noblewomanhood.com,SUCCESS,304.77094650268555,78.0
cosmeticaestheticsurgery.com,SUCCESS,101.39226913452148,88.0
note-so-easy.co.za,SUCCESS,39.6418571472168,78.0
vietcapitaltour.com,FAILED,45.366525650024414,79.0
ncees.org,SUCCESS,105.10683059692383,69.0
laigang001.com,FAILED,45.44663429260254,74.0
verlockeshop.de,SUCCESS,377.0620822906494,75.0
clickdownloadfiles.com,FAILED,105.04746437072754,82.0
e-hps.com,SUCCESS,38.07640075683594,69.0
drglendza.co.rs,FAILED,38.56658935546875,75.0
ghimpele.ro,SUCCESS,41.02921485900879,71.0
pahibu.net,FAILED,44.89707946777344,70.0
trackcheatingspouse.com,FAILED,45.659780502319336,83.0
dricom-hosting.nl,SUCCESS,412.4429225921631,77.0
medipacademy.com,SUCCESS,103.36017608642578,76.0
e-daily.gr,SUCCESS,45.92585563659668,70.0
cuteteenschoolgirlz.com,FAILED,45.296430587768555,83.0
hralda.info,FAILED,269.5307731628418,71.0
sendrakhizonline.com,SUCCESS,102.48994827270508,80.0
hayalforum.net,FAILED,41.08834266662598,74.0
begleyhutton.com,SUCCESS,36.435604095458984,76.0
bmw-parts.ru,SUCCESS,37.64510154724121,72.0
rterc.in,SUCCESS,101.61590576171875,68.0
monitis.com,SUCCESS,37.21165657043457,71.0
