domain,status,query_time_ms
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
tenant-internet.com,NXDOMAIN,19
gadanguides.com,NOERROR,11
charityjob.co.uk,NOERROR,19
sarahpartridge.net,NXDOMAIN,15
ecolems.com,NOERROR,15
marilynlingerie.com,NXDOMAIN,15
anvilnetworksolutions.net,NOERROR,371
cdmail.fr,NOERROR,15
freeditorial.com,NOERROR,23
ciber.com,NOERROR,15
get-webby.com,NXDOMAIN,23
gadgetgearpro.com,NXDOMAIN,19
sonoma-marinfair.org,NOERROR,23
ishidatic.com,NOERROR,19
wpad,SERVFAIL,3
wpad,SERVFAIL,3
wpad,SERVFAIL,3
wpad,SERVFAIL,0
minecraftserverdeals.com,NOERROR,31
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
romney.com,NOERROR,15
gmxwnlajnl,SERVFAIL,0
djoncbjcmv,SERVFAIL,0
mptrmkwart,SERVFAIL,0
djoncbjcmv,SERVFAIL,0
gmxwnlajnl,SERVFAIL,0
mptrmkwart,SERVFAIL,0
bookingnest.com,NOERROR,83
metar.gr,NOERROR,19
bigliettieventi.info,NXDOMAIN,15
asseenontvlaunchpad.com,NXDOMAIN,19
ftf.com,NOERROR,15
polymth.com,NOERROR,19
crsgfk.de,NXDOMAIN,379
urbannetwork.co.uk,NOERROR,79
synrc.com,NOERROR,15
callcomm.info,NXDOMAIN,11
ceskykutil.cz,NOERROR,383
ximangquantrieu.com,NOERROR,11
shishioh.info,NOERROR,15
vpndefender.com,NOERROR,19
hutago.com,NOERROR,15
tangkas888.com,NOERROR,11
egov.sy,NOERROR,11
abmcare.com,NOERROR,23
wpad,SERVFAIL,0
wpad,SERVFAIL,3
wpad,SERVFAIL,0
wpad,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
iael.com,NOERROR,15
sailor.pl,NOERROR,31
skyhightmatter.info,NXDOMAIN,247
autopareri.com,NOERROR,15
cia.it,NOERROR,259
texasbeyondhistory.net,NOERROR,639
gardenofwords.com,NOERROR,19
giuseppelivraghi.it,NOERROR,15
hdcric.com,NOERROR,11
chekiang.info,NXDOMAIN,15
archiportale.com,NOERROR,11
de.vu,NOERROR,19
teachmyass.info,NOERROR,15
nasaspaceflight.com,NOERROR,11
consumerreviews24.com,NXDOMAIN,19
dilw.ie,NOERROR,15
bbqinjector.com,NXDOMAIN,15
gxjbsj.com,NOERROR,115
fmnara.com,NOERROR,307
pet-connect.ru,NOERROR,15
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
synchchaos.com,NOERROR,11
uca.edu,NOERROR,15
oaister.org,NOERROR,19
chenghuavideo.asia,SERVFAIL,343
video-peche-poisson.fr,NXDOMAIN,79
currencyrates.org,NOERROR,19
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
zpav.pl,NOERROR,15
tawali.com,NOERROR,79
dock2office.com,NXDOMAIN,19
vlielandoutdoorcenter.nl,NOERROR,15
gregginn.com,NOERROR,83
arcoat.com,NOERROR,15
cushinglawoffices.com,NXDOMAIN,15
eggcityradio.com,NOERROR,11
michaelbyers.org,NOERROR,15
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
stkpro.ru,NOERROR,15
silveropt.ru,NXDOMAIN,739
topbarbee.com,NOERROR,23
teleskill.it,NOERROR,19
virtualjerusalem.com,NOERROR,11
morban.co.uk,NOERROR,279
mechachal.org,NXDOMAIN,15
noblewomanhood.com,NOERROR,27
cosmeticaestheticsurgery.com,NOERROR,23
note-so-easy.co.za,NOERROR,15
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
vietcapitaltour.com,NXDOMAIN,19
ncees.org,NOERROR,11
laigang001.com,NXDOMAIN,15
verlockeshop.de,NOERROR,351
clickdownloadfiles.com,NXDOMAIN,19
e-hps.com,NOERROR,15
drglendza.co.rs,NXDOMAIN,19
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
ghimpele.ro,NOERROR,399
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
pahibu.net,NXDOMAIN,19
trackcheatingspouse.com,NXDOMAIN,19
dricom-hosting.nl,NOERROR,371
medipacademy.com,NOERROR,15
e-daily.gr,NOERROR,15
cuteteenschoolgirlz.com,NXDOMAIN,19
hralda.info,NXDOMAIN,15
sendrakhizonline.com,NOERROR,19
hayalforum.net,NXDOMAIN,15
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,3
begleyhutton.com,NOERROR,15
bmw-parts.ru,NOERROR,11
rterc.in,NOERROR,23
monitis.com,NOERROR,15
