domain,status,latency_ms,frame_len
gustissimo.it,SUCCESS,196.46120071411133,73.0
auto-klad.ru,SUCCESS,199.98526573181152,72.0
iointegrators.com,SUCCESS,180.10854721069336,77.0
daytimeghosthunter.com,SUCCESS,195.2054500579834,82.0
sapendolo.it,SUCCESS,180.830717086792,72.0
saharaimport.com,SUCCESS,182.10458755493164,76.0
ngoanhien.com,SUCCESS,179.81433868408203,73.0
itgeorgia.co,SUCCESS,198.0576515197754,72.0
myfantasticpark.es,SUCCESS,182.28912353515625,78.0
vinayaprabha.com,SUCCESS,187.7152919769287,76.0
sitiweb.us,SUCCESS,187.18910217285156,70.0
contentremarketing.com,SUCCESS,182.90305137634277,82.0
videofun.me,SUCCESS,182.25431442260742,71.0
breezelaw.com,SUCCESS,187.78419494628906,73.0
ranocchi.it,SUCCESS,196.17724418640137,71.0
22hotmail.com,SUCCESS,188.22288513183594,73.0
ana-sofia.pt,SUCCESS,185.7473850250244,72.0
abhair.com,SUCCESS,185.76431274414062,70.0
tripladoppia.com,SUCCESS,184.20743942260742,76.0
gardeninginflorida.com,SUCCESS,180.1612377166748,82.0
thepropertyvault.co.uk,SUCCESS,183.00271034240723,82.0
viahttps.com,SUCCESS,183.45355987548828,72.0
adverman.com,SUCCESS,185.58621406555176,72.0
majorleaguelacrosse.com,SUCCESS,189.40424919128418,83.0
rubenquinones.com,SUCCESS,190.73748588562012,77.0
kanoon-ansar.org,SUCCESS,188.63725662231445,76.0
arrabonet.hu,SUCCESS,184.57865715026855,72.0
wordai.com,SUCCESS,187.98327445983887,70.0
muhammedmusa.com,SUCCESS,182.45172500610352,76.0
freepornvideosx.com,SUCCESS,183.31265449523926,79.0
120shenbing.com,SUCCESS,184.10706520080566,75.0
onetoshop.nl,SUCCESS,191.66231155395508,72.0
meditekyazilim.net,SUCCESS,195.98627090454102,78.0
theexoticpersian.com,SUCCESS,181.98728561401367,80.0
boh10suphanburi.com,SUCCESS,186.03515625,79.0
overseasmedical.com,SUCCESS,201.63559913635254,79.0
grandcanyongrandhotel.com,SUCCESS,189.86177444458008,85.0
boneshoppe.com,SUCCESS,196.2275505065918,74.0
sweathelp.org,SUCCESS,185.6248378753662,73.0
c0.pl,SUCCESS,183.86530876159668,65.0
sipflash.com,SUCCESS,182.97171592712402,72.0
koopsmodellbau.de,SUCCESS,207.42368698120117,77.0
lespetiteschoses.com,SUCCESS,195.03498077392578,80.0
b2b2c.ca,SUCCESS,183.8052272796631,68.0
pilsnerurquell.com,SUCCESS,188.3828639984131,78.0
medintime.ru,SUCCESS,184.9815845489502,72.0
njafe.org,SUCCESS,194.74077224731445,69.0
djbarryblends.com,SUCCESS,198.86231422424316,77.0
deine-bahn.de,SUCCESS,186.87939643859863,73.0
hackthissite.org,SUCCESS,196.0899829864502,76.0
ereadz.com,SUCCESS,197.67403602600098,70.0
gurukulonline.com,SUCCESS,186.13386154174805,77.0
sf-notifications.com,SUCCESS,183.6071014404297,80.0
capequilog.com,SUCCESS,185.31179428100586,74.0
greens.my,SUCCESS,184.04340744018555,69.0
2xfzy.com,SUCCESS,195.8775520324707,69.0
magic-illusion.ru,SUCCESS,184.29899215698242,77.0
irflashgame.com,SUCCESS,185.47916412353516,75.0
solcredito.es,SUCCESS,193.24398040771484,73.0
go2jump.com,SUCCESS,194.38529014587402,71.0
millionfareast.com,SUCCESS,214.569091796875,78.0
msf.be,SUCCESS,202.880859375,66.0
cellslider.net,SUCCESS,188.31229209899902,74.0
bhhsneproperties.com,SUCCESS,181.95748329162598,80.0
skplus.kr,SUCCESS,201.5056610107422,69.0
empclan.com,SUCCESS,192.55876541137695,71.0
carolgraykennedy.com,SUCCESS,183.4566593170166,80.0
kiyimuzik.com,SUCCESS,199.4156837463379,73.0
yunpda.com,SUCCESS,187.24632263183594,70.0
valdo.com,SUCCESS,187.0434284210205,69.0
supportpabiomass.org,SUCCESS,188.95578384399414,80.0
roche-applied-science.com,SUCCESS,188.25721740722656,85.0
oneworldinfo.com,SUCCESS,186.2020492553711,76.0
7apcrshrmanila.org,SUCCESS,187.47615814208984,78.0
ilikecrochet.com,SUCCESS,185.61792373657227,76.0
closerdiets.com,SUCCESS,183.72821807861328,75.0
myface.com,SUCCESS,184.38220024108887,70.0
megi.cz,SUCCESS,181.41484260559082,67.0
pces.in,SUCCESS,192.89088249206543,67.0
originalmagicart.com,SUCCESS,204.5462131500244,80.0
godo.co.kr,SUCCESS,196.61593437194824,70.0
ugotrelis.com,SUCCESS,186.4173412322998,73.0
alb-automobiles.com,SUCCESS,181.66732788085938,79.0
ok-magazine.ru,SUCCESS,190.87481498718262,74.0
wiltpr.com,SUCCESS,201.77578926086426,70.0
dmg-dental.com,SUCCESS,184.19933319091797,74.0
silkroadtours.com,SUCCESS,194.32711601257324,77.0
rositehost.com,SUCCESS,182.89756774902344,74.0
livescan4all.com,SUCCESS,204.35714721679688,76.0
oberandsons.com,SUCCESS,184.678316116333,75.0
celerity.com,SUCCESS,188.67754936218262,72.0
miscellaneousheathen.com,SUCCESS,199.9058723449707,84.0
rolflouisville.com,SUCCESS,182.36708641052246,78.0
jacquelinemertz.ch,SUCCESS,193.04633140563965,78.0
gaplex.biz,SUCCESS,196.04945182800293,70.0
frasesdemotivacao.net,SUCCESS,194.5655345916748,81.0
divefishhouse.com,SUCCESS,197.22676277160645,77.0
stark.dk,SUCCESS,182.78264999389648,68.0
xxx-muschis.de,SUCCESS,198.20690155029297,74.0
florenseusa.com,SUCCESS,184.29040908813477,75.0
