domain,status,query_time_ms,resolver_ip,recursion_desired,answers
wpad,NXDOMAIN,23.026,8.8.8.8,true,
wpad,NXDOMAIN,20.039,8.8.8.8,true,
wpad,NXDOMAIN,20.278,8.8.8.8,true,
wpad,NXDOMAIN,21.841,8.8.8.8,true,
likeminded.ca,NOERROR,320.123,8.8.8.8,true,198.100.154.154
alltransport.ru,NOERROR,829.130,8.8.8.8,true,141.8.192.214
brown.edu,NOERROR,538.224,8.8.8.8,true,128.148.252.151
fauzanalfi.com,NOERROR,144.549,8.8.8.8,true,
supreetsethi.net,NXDOMAIN,28.827,8.8.8.8,true,
gucenmez.com,NOERROR,83.891,8.8.8.8,true,104.21.39.228;172.67.149.173
seedy.dk,NOERROR,826.844,8.8.8.8,true,93.191.156.22
51cdngo.com,NOERROR,894.718,8.8.8.8,true,
simple-health-reports.com,NXDOMAIN,34.030,8.8.8.8,true,
hivelocitymedia.com,NOERROR,35.968,8.8.8.8,true,172.67.152.101;104.21.1.224
jabeye.org,NOERROR,264.659,8.8.8.8,true,173.236.216.220
ticketbis.com,NOERROR,88.197,8.8.8.8,true,
cellularfactory.com,NOERROR,32.453,8.8.8.8,true,208.91.197.27
tsksv.ru,NOERROR,402.119,8.8.8.8,true,91.199.149.117
wpad,NXDOMAIN,21.979,8.8.8.8,true,
wpad,NXDOMAIN,23.522,8.8.8.8,true,
wpad,NXDOMAIN,22.077,8.8.8.8,true,
wpad,NXDOMAIN,19.430,8.8.8.8,true,
gaybodyblog.com,NOERROR,25.767,8.8.8.8,true,148.72.167.158
wpad,NXDOMAIN,24.776,8.8.8.8,true,
wpad,NXDOMAIN,23.751,8.8.8.8,true,
wpad,NXDOMAIN,21.325,8.8.8.8,true,
wpad,NXDOMAIN,21.306,8.8.8.8,true,
datadikdki.net,NOERROR,28.953,8.8.8.8,true,104.21.55.109;172.67.171.27
mumphi.de,NOERROR,23.453,8.8.8.8,true,87.106.48.102
gmxwnlajnl,NXDOMAIN,22.831,8.8.8.8,true,
djoncbjcmv,NXDOMAIN,21.421,8.8.8.8,true,
mptrmkwart,NXDOMAIN,19.836,8.8.8.8,true,
djoncbjcmv,NXDOMAIN,24.617,8.8.8.8,true,
gmxwnlajnl,NXDOMAIN,21.636,8.8.8.8,true,
mptrmkwart,NXDOMAIN,20.671,8.8.8.8,true,
brfone.com,NOERROR,360.786,8.8.8.8,true,54.243.117.197;13.223.25.84
newpages2u.com,NOERROR,163.253,8.8.8.8,true,110.74.174.131
bigjournalism.com,NOERROR,32.580,8.8.8.8,true,172.67.215.184;104.21.75.65
congsoxanh.com,NOERROR,33.118,8.8.8.8,true,104.21.64.129;172.67.150.218
visualtap.com,NOERROR,309.883,8.8.8.8,true,52.20.84.62
oberoncompany.com,NOERROR,89.635,8.8.8.8,true,104.21.68.213;172.67.198.171
consejodentistas.org,NOERROR,326.853,8.8.8.8,true,213.151.115.236
k-dsl.de,NXDOMAIN,176.945,8.8.8.8,true,
asip.es,NXDOMAIN,30.701,8.8.8.8,true,
androgyn.org,NOERROR,22.248,8.8.8.8,true,217.160.0.127
panaceadream.com,NXDOMAIN,28.986,8.8.8.8,true,
hotel.ch,NOERROR,26.983,8.8.8.8,true,172.67.191.193;104.21.36.90
c3budiman.tk,NXDOMAIN,155.336,8.8.8.8,true,
obtscan.com,NXDOMAIN,242.606,8.8.8.8,true,
phoenix-music.ru,NXDOMAIN,683.822,8.8.8.8,true,
motiie.com,NXDOMAIN,25.801,8.8.8.8,true,
wpad,NXDOMAIN,23.497,8.8.8.8,true,
wpad,NXDOMAIN,25.647,8.8.8.8,true,
wpad,NXDOMAIN,29.237,8.8.8.8,true,
wpad,NXDOMAIN,21.802,8.8.8.8,true,
isilon,NXDOMAIN,20.959,8.8.8.8,true,
isilon,NXDOMAIN,21.684,8.8.8.8,true,
isilon,NXDOMAIN,23.201,8.8.8.8,true,
isilon,NXDOMAIN,22.627,8.8.8.8,true,
cncdesign.co.kr,NOERROR,20.527,8.8.8.8,true,175.126.62.41
udoo24.com,NOERROR,30.950,8.8.8.8,true,185.232.14.229
ljyelectronic.com,NOERROR,176.241,8.8.8.8,true,156.232.155.66
bek.ir,NXDOMAIN,380.960,8.8.8.8,true,
valerievandenbroek.nl,NXDOMAIN,32.457,8.8.8.8,true,
lacuentaperdida.org,NXDOMAIN,84.198,8.8.8.8,true,
alkoholiker-clan.de,NOERROR,21.758,8.8.8.8,true,78.46.86.91
doommovie.com,NOERROR,90.562,8.8.8.8,true,104.21.50.133;172.67.206.138
xqgcab.com,NXDOMAIN,26.315,8.8.8.8,true,
uanet.net,NOERROR,262.886,8.8.8.8,true,38.55.165.9
tomorrowsreflection.com,NOERROR,310.126,8.8.8.8,true,34.67.56.17
lighthouse.cc,NOERROR,254.311,8.8.8.8,true,192.110.166.196
7sports.jp,NOERROR,184.298,8.8.8.8,true,150.95.219.152
gamepsvita.com,NOERROR,28.313,8.8.8.8,true,104.21.73.148;172.67.145.175
thunderex.com,NOERROR,91.794,8.8.8.8,true,97.74.85.52
zamlelova.ru,NOERROR,1566.317,8.8.8.8,true,79.174.69.231
atomicbase.com,NOERROR,315.302,8.8.8.8,true,192.252.149.20
qdushu.com,NOERROR,88.512,8.8.8.8,true,qdushu.com. 600 IN CNAME sp.gname.net.;172.65.185.109
raqualia.com,NOERROR,23.615,8.8.8.8,true,
fanzi.pl,NXDOMAIN,26.938,8.8.8.8,true,
womenology.com,NOERROR,28.492,8.8.8.8,true,213.186.33.4
tonaci.com,NOERROR,29.600,8.8.8.8,true,69.46.47.132
youngsnetwork.it,NXDOMAIN,28.697,8.8.8.8,true,
gvowebcast.com,NOERROR,30.992,8.8.8.8,true,104.21.83.130;172.67.176.152
isatap,NXDOMAIN,21.713,8.8.8.8,true,
isatap,NXDOMAIN,24.338,8.8.8.8,true,
isatap,NXDOMAIN,24.258,8.8.8.8,true,
isatap,NXDOMAIN,22.969,8.8.8.8,true,
aspiringwriter.ca,NXDOMAIN,80.836,8.8.8.8,true,
heygal.net,NXDOMAIN,255.772,8.8.8.8,true,
mpskota.com,NOERROR,27.731,8.8.8.8,true,20.192.98.161
wpad,NXDOMAIN,23.775,8.8.8.8,true,
wpad,NXDOMAIN,23.210,8.8.8.8,true,
wpad,NXDOMAIN,21.927,8.8.8.8,true,
wpad,NXDOMAIN,20.750,8.8.8.8,true,
ohdev.co.uk,NOERROR,27.256,8.8.8.8,true,51.89.253.246
topilehtipuu.com,NOERROR,501.284,8.8.8.8,true,103.224.182.253
thereeftank.com,NOERROR,32.170,8.8.8.8,true,151.101.193.91;151.101.65.91;151.101.1.91;151.101.129.91
volksschule-neufahrn.de,NXDOMAIN,399.754,8.8.8.8,true,
qingjiaopidaiji.com,NXDOMAIN,28.941,8.8.8.8,true,
jcwcn.com,NOERROR,852.678,8.8.8.8,true,128.14.74.54
huhgmbh.com,NOERROR,307.324,8.8.8.8,true,54.243.117.197;13.223.25.84
redcrosseth.org,NOERROR,22.692,8.8.8.8,true,65.21.72.120
lookpage.org,NXDOMAIN,84.627,8.8.8.8,true,
mplus.hk,NOERROR,450.209,8.8.8.8,true,159.138.153.43
sandieskorner.com,NXDOMAIN,29.321,8.8.8.8,true,
sinemagrafik.com,NXDOMAIN,27.038,8.8.8.8,true,
itattoos.org,NXDOMAIN,247.389,8.8.8.8,true,
wpad,NXDOMAIN,22.587,8.8.8.8,true,
wpad,NXDOMAIN,22.812,8.8.8.8,true,
wpad,NXDOMAIN,24.750,8.8.8.8,true,
wpad,NXDOMAIN,22.744,8.8.8.8,true,
wpad,NXDOMAIN,22.231,8.8.8.8,true,
wpad,NXDOMAIN,20.908,8.8.8.8,true,
wpad,NXDOMAIN,20.628,8.8.8.8,true,
wpad,NXDOMAIN,20.045,8.8.8.8,true,
lgmonitorreview.nl,NXDOMAIN,24.167,8.8.8.8,true,
sscw.ee,NOERROR,718.574,8.8.8.8,true,217.146.69.45
nucre.com,NOERROR,94.246,8.8.8.8,true,185.53.179.170
cornesoft.com,NXDOMAIN,25.022,8.8.8.8,true,
isatap,NXDOMAIN,22.025,8.8.8.8,true,
isatap,NXDOMAIN,26.948,8.8.8.8,true,
isatap,NXDOMAIN,22.470,8.8.8.8,true,
isatap,NXDOMAIN,21.746,8.8.8.8,true,
mattselznick.com,NOERROR,277.739,8.8.8.8,true,44.245.84.147
horn-elektronik.com,NOERROR,705.107,8.8.8.8,true,92.43.119.40
rousing.dk,NOERROR,21.454,8.8.8.8,true,212.237.249.17
i12.de,NOERROR,23.888,8.8.8.8,true,
casco.com,NOERROR,28.927,8.8.8.8,true,216.150.1.1
ambassadorsspfhf.org,NXDOMAIN,370.000,8.8.8.8,true,
wpad,NXDOMAIN,23.199,8.8.8.8,true,
wpad,NXDOMAIN,23.470,8.8.8.8,true,
wpad,NXDOMAIN,21.694,8.8.8.8,true,
wpad,NXDOMAIN,20.756,8.8.8.8,true,
capella.edu,NOERROR,28.085,8.8.8.8,true,172.64.146.16;104.18.41.240
wpad,NXDOMAIN,28.659,8.8.8.8,true,
wpad,NXDOMAIN,19.536,8.8.8.8,true,
wpad,NXDOMAIN,21.252,8.8.8.8,true,
wpad,NXDOMAIN,21.398,8.8.8.8,true,
wpad,NXDOMAIN,21.376,8.8.8.8,true,
wpad,NXDOMAIN,21.017,8.8.8.8,true,
wpad,NXDOMAIN,21.698,8.8.8.8,true,
wpad,NXDOMAIN,20.615,8.8.8.8,true,
nipslab.org,NOERROR,409.633,8.8.8.8,true,89.46.108.36
webxtrap.com,NOERROR,376.881,8.8.8.8,true,109.234.165.168
stopallthathating.com,NXDOMAIN,23.386,8.8.8.8,true,
ovtoc.com,NOERROR,399.054,8.8.8.8,true,64.190.63.222
vaco.ru,NOERROR,1176.679,8.8.8.8,true,81.88.217.58
ku.edu,NOERROR,344.300,8.8.8.8,true,129.237.135.76
amedeos.net,NOERROR,104.387,8.8.8.8,true,76.223.105.230;13.248.243.5
thankfullyyours.com,NOERROR,86.713,8.8.8.8,true,23.227.38.32
elettronix.com,NOERROR,83.064,8.8.8.8,true,217.64.201.130
meintrendyhandy.de,NOERROR,394.315,8.8.8.8,true,94.143.8.110
a-loud.com,NOERROR,20.259,8.8.8.8,true,183.111.199.180
hznzcn.com,NOERROR,534.261,8.8.8.8,true,120.55.81.189
zilch.org,NOERROR,702.665,8.8.8.8,true,104.237.133.18
metabans.com,NOERROR,89.959,8.8.8.8,true,104.21.65.104;172.67.162.83
tretsomshop.nl,NOERROR,298.391,8.8.8.8,true,23.227.38.32
